prefix_a,prefix_b,shared_labels
20.163,20.9,37
20.165,4.151,37
20.171,20.94,37
20.237,20.97,37
20.245,20.98,37
20.245,52.159,37
20.45,20.80,37
23.100,4.255,37
23.100,57.154,37
130.131,20.245,36
135.232,20.12,36
135.232,20.230,36
135.232,20.94,36
172.184,20.97,36
20.110,20.29,36
20.12,20.65,36
20.163,4.255,36
20.165,20.59,36
20.168,74.249,36
20.225,23.100,36
20.29,52.159,36
20.45,20.65,36
20.59,57.154,36
20.9,52.162,36
4.227,4.255,36
104.42,20.171,35
130.131,135.232,35
172.212,20.168,35
172.212,20.80,35
20.110,64.236,35
20.114,20.83,35
20.172,20.245,35
20.172,20.65,35
20.172,52.159,35
20.225,4.227,35
20.230,20.98,35
20.45,64.236,35
20.9,23.100,35
20.97,4.154,35
20.98,52.159,35
4.227,57.154,35
52.159,64.236,35
130.131,20.230,34
135.232,4.154,34
172.173,20.171,34
172.173,20.225,34
172.173,20.69,34
172.173,4.255,34
172.212,4.255,34
20.110,20.9,34
20.114,52.162,34
20.12,20.98,34
20.122,20.165,34
20.168,4.154,34
20.171,4.151,34
20.172,20.45,34
20.172,20.94,34
20.230,4.154,34
20.230,52.162,34
20.245,20.59,34
20.29,52.162,34
20.3,20.69,34
20.65,64.236,34
20.83,20.97,34
4.154,4.255,34
135.232,20.110,33
135.232,20.98,33
172.173,57.154,33
172.184,20.65,33
20.110,20.12,33
20.114,20.163,33
20.114,4.151,33
20.163,20.168,33
20.165,40.75,33
20.165,52.165,33
20.165,74.249,33
20.168,20.59,33
20.168,20.94,33
20.225,20.83,33
20.230,52.159,33
20.237,20.29,33
20.245,74.249,33
20.29,20.94,33
20.29,74.249,33
20.66,20.9,33
20.66,20.97,33
20.83,4.255,33
20.9,4.227,33
104.210,20.69,32
104.42,135.232,32
104.42,4.255,32
130.131,20.12,32
130.131,20.80,32
135.232,20.45,32
172.173,20.9,32
172.184,20.230,32
172.202,20.165,32
172.212,20.65,32
20.110,20.172,32
20.110,20.230,32
20.12,20.163,32
20.12,20.45,32
20.168,20.66,32
20.230,20.237,32
20.230,20.94,32
20.237,20.65,32
20.237,64.236,32
4.151,4.255,32
104.210,57.154,31
104.42,20.29,31
130.131,64.236,31
135.232,172.212,31
135.232,20.83,31
172.184,20.12,31
172.184,64.236,31
172.212,20.29,31
20.110,52.162,31
20.12,20.237,31
20.12,52.162,31
20.165,20.88,31
20.171,20.66,31
20.171,52.165,31
20.172,20.98,31
20.225,20.59,31
20.225,20.66,31
20.237,4.255,31
20.245,20.66,31
20.245,20.83,31
20.245,4.154,31
20.245,52.162,31
20.29,4.151,31
20.45,20.98,31
20.66,20.69,31
20.69,40.75,31
20.80,20.94,31
20.9,4.151,31
4.255,74.249,31
57.154,74.249,31
104.42,20.114,30
104.42,20.168,30
104.42,20.80,30
135.232,4.151,30
135.232,52.162,30
172.202,20.97,30
172.212,20.114,30
172.212,20.12,30
20.122,20.69,30
20.163,20.230,30
20.163,20.80,30
20.168,40.75,30
20.172,20.83,30
20.230,4.151,30
20.59,20.97,30
20.65,20.83,30
20.65,4.154,30
20.65,52.162,30
20.80,4.151,30
20.80,4.154,30
20.80,4.227,30
20.9,4.154,30
20.9,74.249,30
20.94,4.154,30
20.94,52.159,30
20.94,64.236,30
4.151,64.236,30
4.255,65.52,30
104.42,20.245,29
130.131,20.163,29
130.131,20.172,29
135.232,52.159,29
172.173,20.168,29
172.184,20.110,29
172.212,20.110,29
172.212,20.172,29
172.212,20.98,29
172.212,64.236,29
20.114,20.59,29
20.114,20.66,29
20.12,20.59,29
20.12,20.83,29
20.12,52.159,29
20.168,4.227,29
20.168,65.52,29
20.169,20.69,29
20.172,4.154,29
20.225,74.249,29
20.230,4.227,29
20.237,20.245,29
20.237,20.80,29
20.245,4.151,29
20.245,4.227,29
20.3,20.97,29
20.59,20.9,29
20.59,4.255,29
20.65,20.94,29
20.65,20.98,29
20.66,57.154,29
20.97,4.227,29
20.97,40.75,29
4.154,64.236,29
52.162,64.236,29
104.42,20.225,28
104.42,20.98,28
104.43,20.165,28
104.43,20.171,28
130.131,20.94,28
135.232,20.163,28
135.232,74.249,28
172.173,20.65,28
172.184,20.172,28
172.184,20.45,28
172.202,20.80,28
172.212,20.245,28
20.110,20.83,28
20.114,20.94,28
20.114,4.154,28
20.114,4.227,28
20.12,74.249,28
20.122,20.97,28
20.163,20.29,28
20.165,20.62,28
20.165,20.96,28
20.165,52.161,28
20.168,20.96,28
20.172,52.162,28
20.225,52.225,28
20.230,20.66,28
20.29,23.100,28
20.45,52.162,28
20.59,20.80,28
20.69,52.242,28
20.83,52.159,28
20.83,52.162,28
20.83,64.236,28
57.154,65.52,28
104.43,20.225,27
104.43,20.69,27
135.232,172.173,27
172.173,20.12,27
172.173,20.80,27
172.202,20.168,27
172.202,20.171,27
172.202,20.69,27
172.212,20.9,27
20.110,20.45,27
20.110,23.100,27
20.110,4.227,27
20.165,20.25,27
20.165,52.225,27
20.171,20.62,27
20.171,20.96,27
20.171,40.75,27
20.228,57.154,27
20.230,20.83,27
20.237,20.45,27
20.29,20.59,27
20.29,20.83,27
20.29,4.154,27
20.3,57.154,27
20.65,4.151,27
20.69,20.88,27
20.69,52.161,27
20.69,52.165,27
20.80,23.100,27
20.83,4.154,27
20.94,20.98,27
20.98,52.162,27
52.159,52.162,27
52.165,57.154,27
104.210,20.225,26
104.42,52.159,26
104.42,64.236,26
104.43,20.9,26
104.43,57.154,26
130.131,172.184,26
130.131,20.65,26
130.131,20.83,26
130.131,20.98,26
130.131,52.162,26
135.232,23.100,26
172.202,20.29,26
20.110,4.154,26
20.110,52.159,26
20.112,20.69,26
20.12,20.94,26
20.122,20.171,26
20.122,20.9,26
20.122,57.154,26
20.163,20.245,26
20.163,20.98,26
20.163,52.159,26
20.165,20.228,26
20.165,65.52,26
20.168,20.88,26
20.171,52.161,26
20.172,20.237,26
20.225,20.88,26
20.237,20.98,26
20.245,20.88,26
20.245,23.100,26
20.29,20.66,26
20.29,20.88,26
20.45,52.159,26
20.59,20.65,26
20.62,20.69,26
20.69,20.96,26
20.69,65.52,26
20.88,20.97,26
20.88,4.255,26
20.88,57.154,26
20.9,65.52,26
20.97,52.225,26
4.227,64.236,26
4.255,40.75,26
104.42,4.227,25
104.42,52.162,25
130.131,4.154,25
135.119,20.69,25
135.232,20.66,25
172.173,20.172,25
172.173,20.245,25
172.173,64.236,25
172.184,20.59,25
172.184,20.80,25
172.202,20.225,25
172.212,20.230,25
172.212,52.162,25
20.110,20.98,25
20.110,4.151,25
20.112,20.168,25
20.12,23.100,25
20.12,4.154,25
20.122,20.225,25
20.122,4.255,25
20.163,20.172,25
20.163,64.236,25
20.165,52.242,25
20.168,52.161,25
20.168,52.165,25
20.169,20.171,25
20.171,20.88,25
20.171,65.52,25
20.172,20.66,25
20.225,52.165,25
20.237,20.94,25
20.3,20.9,25
20.45,4.151,25
20.59,64.236,25
20.62,4.255,25
20.66,20.80,25
20.66,52.159,25
20.66,64.236,25
20.80,74.249,25
20.9,52.165,25
4.154,52.162,25
40.75,57.154,25
64.236,74.249,25
104.210,20.97,24
104.42,20.172,24
130.131,20.45,24
130.131,4.227,24
135.119,20.171,24
135.232,20.237,24
135.232,52.165,24
157.55,20.171,24
157.55,20.69,24
172.173,20.98,24
172.184,20.83,24
172.184,52.159,24
172.184,52.162,24
172.202,20.65,24
172.202,4.255,24
172.202,57.154,24
172.212,20.45,24
172.212,20.94,24
172.212,52.159,24
20.109,20.69,24
20.114,74.249,24
20.12,20.66,24
20.12,4.151,24
20.12,65.52,24
20.163,20.45,24
20.163,20.65,24
20.172,74.249,24
20.245,20.94,24
20.45,20.59,24
20.45,20.66,24
20.45,20.94,24
20.45,23.100,24
20.45,74.249,24
20.62,57.154,24
20.65,20.66,24
20.80,52.165,24
20.83,20.98,24
20.88,20.9,24
20.94,52.162,24
20.97,52.165,24
20.97,65.52,24
20.98,4.151,24
4.154,52.159,24
52.242,57.154,24
104.42,20.12,23
104.42,20.65,23
104.43,20.114,23
104.43,20.97,23
104.43,4.255,23
135.119,20.168,23
135.119,20.225,23
135.119,20.97,23
135.232,20.59,23
157.55,20.165,23
172.173,20.237,23
172.184,20.237,23
172.202,64.236,23
20.109,20.9,23
20.110,20.88,23
20.114,20.3,23
20.114,20.88,23
20.163,4.227,23
20.168,20.62,23
20.169,20.225,23
20.171,20.25,23
20.172,20.59,23
20.225,20.228,23
20.228,20.69,23
20.230,20.59,23
20.237,52.159,23
20.25,20.97,23
20.45,20.83,23
20.59,20.98,23
20.62,20.9,23
20.62,20.97,23
20.66,20.94,23
20.66,20.98,23
20.83,20.94,23
20.96,20.97,23
20.96,4.255,23
20.97,52.242,23
4.227,52.159,23
52.162,74.249,23
104.209,20.171,22
104.210,20.114,22
104.42,172.184,22
104.42,20.110,22
104.42,20.230,22
104.42,20.45,22
104.42,20.94,22
104.42,23.100,22
130.131,172.212,22
130.131,20.110,22
130.131,20.237,22
132.196,20.171,22
132.196,20.69,22
132.196,20.97,22
135.232,4.227,22
172.173,172.212,22
172.173,20.230,22
20.109,20.171,22
20.110,20.66,22
20.110,20.94,22
20.112,20.97,22
20.114,23.100,22
20.122,20.168,22
20.163,23.100,22
20.163,52.162,22
20.165,20.169,22
20.165,40.70,22
20.168,20.3,22
20.171,20.3,22
20.172,23.100,22
20.172,4.227,22
20.172,40.75,22
20.225,20.3,22
20.225,65.52,22
20.25,20.9,22
20.29,20.96,22
20.29,52.161,22
20.45,4.154,22
20.45,65.52,22
20.65,23.100,22
20.66,4.227,22
20.83,74.249,22
20.88,64.236,22
20.9,40.75,22
20.96,57.154,22
23.100,64.236,22
4.255,52.165,22
52.161,57.154,22
104.209,20.69,21
104.209,20.97,21
104.210,20.168,21
104.210,20.245,21
104.210,20.29,21
104.210,20.80,21
104.210,4.255,21
104.42,130.131,21
104.42,20.163,21
104.43,20.168,21
132.196,20.114,21
132.196,20.165,21
132.196,20.168,21
135.119,20.165,21
135.232,65.52,21
172.173,20.114,21
172.173,52.162,21
172.184,20.66,21
172.184,20.98,21
172.202,20.230,21
172.212,4.154,21
20.109,20.168,21
20.110,20.237,21
20.110,20.59,21
20.112,20.245,21
20.112,20.9,21
20.114,20.228,21
20.114,52.165,21
20.12,4.227,21
20.122,20.172,21
20.122,20.245,21
20.163,20.66,21
20.171,20.228,21
20.171,20.64,21
20.171,52.242,21
20.172,4.151,21
20.225,20.96,21
20.225,40.75,21
20.228,20.80,21
20.25,4.255,21
20.25,57.154,21
20.29,20.3,21
20.3,20.80,21
20.45,4.227,21
20.59,52.159,21
20.59,52.162,21
20.64,20.97,21
20.69,52.251,21
20.9,20.96,21
20.98,52.165,21
52.159,74.249,21
104.209,57.154,20
104.210,20.171,20
104.210,20.65,20
104.210,20.98,20
104.210,64.236,20
104.43,135.232,20
104.43,20.245,20
104.43,20.29,20
130.131,20.59,20
130.131,4.151,20
130.131,52.165,20
132.196,4.255,20
135.119,4.255,20
172.173,20.110,20
172.173,20.163,20
172.173,20.83,20
172.173,52.159,20
172.184,23.100,20
172.184,4.154,20
172.212,74.249,20
20.109,20.165,20
20.109,20.97,20
20.109,57.154,20
